Contract Number,Amount Vouchered,Amount Paid,Check/Item Date
49250,"2,340.00","2,340.00",1/23/2012
47704,744.34,744.34,1/24/2012
47703,"2,136.40","2,136.40",1/24/2012
41341,"10,530.44","10,530.44",1/23/2012
41341,"3,894.82","3,894.82",1/23/2012
48211,"16,250.00","16,250.00",1/23/2012
48211,"33,750.00","33,750.00",1/23/2012
42011,"106,385.71","106,385.71",1/23/2012
49366,"2,752.00","2,752.00",1/23/2012
49168,"20,416.67","20,416.67",1/30/2012
42011,"10,406.11","10,406.11",1/30/2012
49385,"2,351.25","2,351.25",1/30/2012
47401,195.00,195.00,1/30/2012
42822,"7,230.30","7,230.30",1/30/2012
48325,"3,340.18","3,340.18",2/3/2012
48325,"2,905.42","2,905.42",2/3/2012
48581,"7,500.00","7,500.00",2/3/2012
48830,"38,342.06","38,342.06",2/2/2012
48830,"29,156.83","29,156.83",2/2/2012
49396,"100,000.00","100,000.00",2/8/2012
48831,"21,575.02","21,575.02",2/2/2012
48831,643.50,643.50,2/2/2012
47704,336.00,336.00,2/2/2012
46223,802.50,802.50,2/2/2012
44835,"29,015.74","29,015.74",2/2/2012
49254,"64,878.00","64,878.00",2/3/2012
42822,"5,527.01","5,527.01",2/7/2012
42822,"2,028.65","2,028.65",2/7/2012
47401,457.50,457.50,2/7/2012
46223,506.50,506.50,2/7/2012
49034,"16,358.01","16,358.01",2/8/2012
49034,"6,404.71","6,404.71",2/8/2012
49225,"2,169.32","2,169.32",2/7/2012
43457,"17,489.02","17,489.02",2/8/2012
43457,"12,399.25","12,399.25",2/8/2012
46481,"6,191.44","6,191.44",2/10/2012
46481,485.04,485.04,2/10/2012
46481,"4,106.69","4,106.69",2/10/2012
46481,"12,111.27","12,111.27",2/10/2012
46481,388.44,388.44,2/10/2012
46481,"1,029.97","1,029.97",2/10/2012
48284,"4,040.00","4,040.00",2/10/2012
494805,"101,000.00","101,000.00",2/9/2012
48981,"3,723.37","3,723.37",2/9/2012
49095,"52,926.18","52,926.18",2/9/2012
48788,784.00,784.00,2/9/2012
49194,"1,140.00","1,140.00",2/9/2012
