Address Number,Alpha Name,Or Ty,Contract Number,Fund ,Fund,Cst Ctr / Job,Cost Center / Job,Obj Acct,Obj Account Description,2nd Item Number,2nd Item Number,Extended Price,Amount Received,Amount Open
310474,NEVILLE TERMINAL SERVICES LLC,OS,49017,40011,CAPITAL PROJECTS - 2006 BOND,  4039103060,SLOPE FAILURE REMEDIATION,56401,MATERIALS,1242,"MAINT. ,REPAIR &  OPERATIONAL",578.16,0.00,578.16
310474,NEVILLE TERMINAL SERVICES LLC,OS,49017,40011,CAPITAL PROJECTS - 2006 BOND,  4039103060,SLOPE FAILURE REMEDIATION,56401,MATERIALS,1242,"MAINT. ,REPAIR &  OPERATIONAL","1,083.29",0.00,"1,083.29"
146691,"RUDER, JEFFREY J., ESQ.",OS,47246,26030,HUD-FAIR HOUSING PROG TF,      105000,HUMAN RELATIONS COMM.,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"25,000.00",0.00,"25,000.00"
64122,SMITH & BOWEN,OS,38763,28050,SENIOR CITIZENS PROG TF,      500000,PARKS AND RECREATION,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"2,800.00",0.00,"2,800.00"
73754,SCIENTIFIC-PGH./R. BAKER & A. MARCINKO,OS,39486,24040,FEDERAL TASK FORCE TF,      230000,PS - POLICE BUREAU,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"1,670.00",0.00,"1,670.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,42181,40001,CAP PROJ - PROJ FUND,  4423200102,FANCOURT STREET BRIDGE (TIP),53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"7,000.00",0.00,"7,000.00"
253888,"EISLER LANDSCAPES, INC.",OS,46258,29040,GRANTS FUND,  1129400020,DCNR TREE VITALIZE,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"28,273.00",0.00,"28,273.00"
1145,MACKIN ENGINEERING CO.,OS,46652,29040,GRANTS FUND,  4029400009,PGH DOWNTOWN PARTNERSHIP TRAFF,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,291.35,0.00,291.35
9106,MCKAY LODGE FINE ARTS CONSERVATION,OS,47644,29040,GRANTS FUND,  1129400012,KING MELLON ARTWRK CONSERVATIO,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"9,248.80",0.00,"9,248.80"
305889,"MASON TILLMAN ASSOCIATES, LTD.",OS,47884,11101,GENERAL FUND,      108350,EQUAL OPP. REVIEW COMMISION,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"2,000.00",0.00,"2,000.00"
190101,"CALABOYIAS, PETER J",OS,48171,29040,GRANTS FUND,  1129400012,KING MELLON ARTWRK CONSERVATIO,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"2,251.13",0.00,"2,251.13"
1145,MACKIN ENGINEERING CO.,OS,48683,28065,WAYFINDERS SIGNAGE TF,      410000,PW- BUREAU OF ADMINISTRATION,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,"20,000.00",0.00,"20,000.00"
250838,"CRUMRINE, DANIELLE",OS,46004,28070,SOLID WASTE TF,      430000,PW- ENVIRONMENTAL SERVICES,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"33,054.20",0.00,"33,054.20"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,49012,40011,CAPITAL PROJECTS - 2006 BOND,  4431011040,BRIDGE INSPECTION PROGRAM,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"117,786.00",0.00,"117,786.00"
3919,SABRE EQUIPMENT INC,OS,48787,40011,CAPITAL PROJECTS - 2006 BOND,  2326736909,IN-CAR CAMERA SYSTEM,57201,BUILDING CONSTRUCTION,1155,CONSTRUCTION SERVICES,150.00,0.00,150.00
79125,SQUIRREL HILL BUSINESS & PROF. ASSN.,OS,43269,40001,CAP PROJ - PROJ FUND,  0141008012,DISTRICT 8 NEIGHBORHOOD NEEDS,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"2,500.00",0.00,"2,500.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,44021,40011,CAPITAL PROJECTS - 2006 BOND,  4026734609,BROOKLINE BLVD.,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"15,900.00",0.00,"15,900.00"
63925,CDM SMITH INC,OS,49551,40011,CAPITAL PROJECTS - 2006 BOND,  4026722207,CBD SIGNAL UPGRADES,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","2,519.66",0.00,"2,519.66"
