Address Number,Alpha Name,Contract Number,Fund ,Cst Ctr / Job,Obj Acct,2nd Item Number,Purchase Order Detail Line Number,Extended Price,Amount Received,Amount Open,Amount Vouchered,Voucher Line Number
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561800,1,"$181,129.67 ","$181,129.67 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561800,2,"$181,129.67 ","$181,129.67 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,53701,561000,3,"$173,994.10 ","$173,994.10 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,4,"$173,994.10 ","$173,994.10 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,5,"$173,994.00 ",$0.00 ,$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,6,"$176,283.88 ","$176,283.88 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,7,"$176,283.87 ","$176,283.87 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,8,"$189,218.77 ","$189,218.77 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,9,"$189,218.77 ","$189,218.77 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,10,"$417,994.40 ","$417,994.40 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,11,"$5,406.18 ",$0.00 ,$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,11101,      121000,54501,561000,12,"$5,406.18 ","$5,406.18 ",$0.00 ,,
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$181,129.67 ",1
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$181,129.67 ",2
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$173,994.10 ",3
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$173,994.10 ",4
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$176,283.88 ",6
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$176,283.87 ",7
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$189,218.77 ",8
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$189,218.77 ",9
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$211,700.29 ",10
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$206,294.11 ",10
664,URBAN REDEVELOPMENT AUTHORITY,33531,,,,,,,,,"$5,406.18 ",12
