Contract Type,Agreement #,JDE Vendor #,Submitting Department/Division,Vendor Name,Start Date,End Date,Executive Action #,Box #,Transaction Type,Year,Requestor Email,Contract Status,OK to Show Web
PI,3231,CITY ONLY,PURCHASING,TRI-TECH FORENSICS,1/2/2015,12/31/2015,,255,,,,CONTRACT REVIEW,Y
PI,3231,CITY ONLY,PURCHASING,WITMER PUBLIC SAFETY GROUP,1/2/2015,12/31/2015,,254,,,,CONTRACT REVIEW,Y
OJ,169670,138026,NON-DEPT EXPENDITURES,SEIU 668 PA SOCIAL SERVICES UN,1/7/2015,12/31/2016,7163-14,249,,,,CONTRACT REVIEW,Y
OU,169672,1725898,HEALTH,DAVIS BENJAMIN DBA YAMEAN STUD,1/7/2015,4/30/2015,6913-14,249,,,,CONTRACT REVIEW,Y
OU,170043,139859,ECONOMIC DEVELOPMENT,TURTLE CREEK VALLEY COG,1/12/2015,7/31/2015,7101-14,250,,,,CONTRACT REVIEW,Y
OU,172151,133567,ECONOMIC DEVELOPMENT,MCKEESPORT HOUSING CORP,1/15/2015,1/14/2016,7149-14,252,,,,CONTRACT REVIEW,Y
OS,169650,853474,PUBLIC WORKS CAPITAL,INDEPENDENT ENTERRISES INC,1/21/2015,8/20/2015,6237-15,,,,,CONTRACT REVIEW,Y
OS,169650,853474,PUBLIC WORKS CAPITAL,INDEPENDENT ENTERPRISES INC,1/21/2015,8/20/2015,6981-14,256,,,,CONTRACT REVIEW,Y
OS,169650,853474,PUBLIC WORKS CAPITAL,INDEPENDENT ENTERPRISES INC,1/21/2015,8/20/2015,6981-14,249,,,,CONTRACT REVIEW,Y
OU,170360,131361,HUMAN SERVICES,KIDSPEACE CORPORATION %CITIZEN,1/22/2015,6/30/2015,,250,,,,CONTRACT REVIEW,Y
PI,48306,641469,PURCHASING,CLEVELAND BROTHERS,1/27/2015,1/27/2016,,255,,,,CONTRACT REVIEW,Y
OU,172273,139859,ECONOMIC DEVELOPMENT,TURTLE CREEK VALLEY COG,1/28/2015,12/28/2015,519215;587115,269,,,,CONTRACT REVIEW,Y
OU,172273,139859,ECONOMIC DEVELOPMENT,TURTLE CREEK VALLEY COG,1/28/2015,12/28/2015,5192-15;5871-15,258,,,,CONTRACT REVIEW,Y
OU,172273,139859,ECONOMIC DEVELOPMENT,TURTLE CREEK VALLEY COG,1/28/2015,12/28/2015,519215;587115,258,,,,CONTRACT REVIEW,Y
OU,173348,2161665,HEALTH,SC  C INC DBA SQUARE CAFE COF,1/28/2015,2/28/2015,5371-15,254,,,,CONTRACT REVIEW,Y
OU,172273,139859,ECONOMIC DEVELOPMENT,TURTLE CREEK VALLEY COG,1/28/2015,12/28/2015,5192-15,253,,,,CONTRACT REVIEW,Y
PI,48311,1702840,PUCHASING,BUILDERS HARDWARE AND SPECIALTY,1/30/2015,1/30/2016,,261,,,,CONTRACT REVIEW,Y
PI,48443,1391532,PURCHASING,WM CORBETT INC,1/30/2015,1/29/2016,,253,,,,CONTRACT REVIEW,Y
PI,47771,CITY ONLY,PURCAHSING,JEFFERSON HILLS LAWN,1/31/2015,3/31/2015,,251,,,,CONTRACT REVIEW,Y
OU,172642,2150505,HEALTH,FONTELO MARIE CHRISTINE,2/1/2015,10/31/2015,6283-15,269,,,,CONTRACT REVIEW,Y
OJ,178703,555555,PUBLIC WORKS CAPITAL,OHIO TOWNSHIP[,2/1/2015,12/31/2015,5262-15,263,,,,CONTRACT REVIEW,Y
PI,48543,1163412,PURCHASING,EMD MILLIPORE,2/1/2015,1/31/2020,,263,,,,CONTRACT REVIEW,Y
OU,172642,2150505,HEALTH,FONTELO MARIE CHRISTINE,2/1/2015,7/31/2015,5326-155831-15,258,,,,CONTRACT REVIEW,Y
OU,172935,2148525,MEDICAL EXAMINER,CONSERVATIVE ENVIRONMENTAL SER,2/1/2015,1/31/2016,,256,,,,CONTRACT REVIEW,Y
OU,174785,2151403,HUMAN SERVICES,ALLIED SECURITY HOLDINGS LLC D,2/1/2015,10/31/2017,,256,,,,CONTRACT REVIEW,Y
OU,172510,141119,HUMAN SERVICES,YWCA OF GREATER PGH,2/1/2015,1/31/2016,,256,,,,CONTRACT REVIEW,Y
OU,174785,2151403,HUMAN SERVICES,ALLIED SECURITY HOLDINGS LLC D,2/1/2015,10/31/2017,5063-15,255,,,,CONTRACT REVIEW,Y
OU,174787,579895,COURT OF COMMON PLEAS,AM-GARD INC,2/1/2015,10/31/2017,5063-15,255,,,,CONTRACT REVIEW,Y
OU,173500,128308,HUMAN SERVICES,GOODWILL OF SOUTHWESTERN PENNS,2/1/2015,1/31/2016,5211-15,255,,,,CONTRACT REVIEW,Y
